sentenca,categoria
"Achei uma boa opção, mas muito barulhento e não tem na cozinha a mesma qualidade que apresenta nos produtos da delicatessen","geral,ambiente,comida"
"Na minha opinião é o melhor restaurante regional de Manaus, comi um pirarucu com banana e queijo coalho simplesmente maravilhoso...recomendo, pode vir sem medo...","geral,comida"
"É um bom restaurante, mas geralmente domingo o atendimento não é bom.","geral,serviço"
É uma restaurante que possui dois ambientes um mais tradicional puxando pra cozinha portuguesa e outro mais moderno!,ambiente
"E ainda conta com uma área grande para as crianças, se divertirem enquanto o pedido é finalizado.",ambiente
Excelente restaurante.,geral
"Excelente opção, pão de qualidade.","geral,comida"
"Para quem não quer arriscar e comer massa com carnes variadas, esse é  o restaurante ideal!","geral,comida"
"Atendimento excelente atendimento, garçom José Gregório muito simpático e cordial, parabéns pelo serviço prestado.",serviço
Um dos melhores restaurantes de Manaus !!,geral
"Poderia ter um preços mais acessíveis, e isso seria de forma simples: tendo como opção tapiocas menores ou individuais.","preço,comida"
Ótimo restaurante,geral
"Restaurante maravilhoso, todos os pratos são muito bem servidos.","geral,comida"
"Ótima comida regional de qualidade, bom atendimento, várias opções de pratos e bebidas... ótimo restaurante.","geral,comida,serviço,bebida"
"Pizza boa só que dps de um tempo pararam de servi a nossa messa, tirando é uma excelente pizzaria.","geral,comida,serviço"
"Bar pequeno, mas com boas promoções.","ambiente,preço"
"Pizzaria muito boa, qualidade, variedade, ambiente, local pra crianças.","geral,comida,ambiente"
O restaurante fica localizado no centro histórico ao lado do teatro Amazonas.,localização
Restaurante maravilhoso de Manaus!!!!!,geral
O Langrill é um restaurante razoável.,geral
Restaurante espetacular que mescla a culinária regional com a arte dos melhores chefs do país; localizado em um belíssimo prédio histórico com vista privilegiada para o Teatro Amazonas.,"geral,comida,serviço,ambiente"
"Restaurante regional muito bom, com ótimos pescados, tais como tambaqui, pirarucu, piau e jatuarana, tudo bem preparados.","geral,comida"
Excelente restaurante,geral
"Pra quem procura otima carne... em um custo bom, otimo lugar e boa higienização.... está ai otima churrascaria !!!","geral,comida,preço,ambiente"
Bar histórico de MANAUS!,geral
"Meu lugarzinho do açaí, ótimo opção.","geral,comida"
"Restaurante excelente,ambiente muito confortável, excelente atendimento de todos os funcionários e a comida de muito bom gosto ,O camarão internacional e maravilhoso com certeza indico vcs vão adorar","geral,ambiente,serviço,comida"
"Atendimento excepcional, restaurante maravilhoso, e a melhor trilha sonora que se pode imaginar!","geral,serviço,ambiente"
"O Dedé Boteco é uma novidade no Amazonas Shopping, localizado na praça de alimentação do primeiro piso, um local muito aconchegante, estilo boteco, área interna climatizada e externa ao ar livre, Wi-Fi free; possui um menu bebidas e gastronomia, com chopp gelado, cervejas e outros...Mais","geral,ambiente,bebida"
Excelente restaurante!,geral
"Na cozinha a agitação tem nome: Felipe Schaedler, o jovem chef que fez fama ao utilizar elementos inusitados na sua cozinha regional e recentemente fincou um pé na capital paulista, com uma...filial.",serviço
"Excelente restaurante, a comida é bem gostosa é preparada com peixes regionais como o tambaqui, pararucu entre outros, um ponto negativo para o local é a falta de um estacionamento, por ser um local bastante frequentado.","geral,comida,localização"
Bares badalados na mesma rua perdem em atendimento.,"geral,serviço"
Tem uma área privada disponível para grupos...Mais,outros
"Restaurante muito bom,excelente pra se degustação um peixe regional típico e com requinte do toque de um Chef recomendo a muqueca ao molho de camarão Maravilhosa! !","geral,comida"
Surpreendente restaurante na capital amazonense.,geral
Melhor restaurante de Manaus,geral
É um bom restaurante.,geral
Uma ótima opção pra ir depois do culto no fim de semana ou durante a semana com os amigos ?,geral
"Tem uma vista para o butirizau que fica no meio do Shopping Manauara muito bonita inclusive com mesas externas, o ambiente é muito agradável, comi carne de sol, é muito boa.","ambiente,comida"
"Restaurante português, muito bom.",geral
"ótimo restaurante e ótimo atendimento, fomos atendidos pelo sr. Pedro Jacks muito atencioso, gostei de mais.","geral,serviço"
Foi com clientes neste excelente restaurante português.,geral
Mas pra quem deseja ir a um lugar um pouco diferente conheça.,geral
Manaus tem um excelente restaurante português com um divino bacalhau.,"geral,comida"
"O espaço físico tbm tá cada dia melhor, pertinho da natureza, dá pra fazer belas fotos tbm",ambiente
Excelente restaurante.,geral
"Restaurante de culinária portuguesa de excelente qualidade, cozinha perfeita, honesta e de sabores 1000.","geral,comida"
Restaurante acolhedor preços convidativos.,"geral,preço"
"Situado num dos melhores shoppings de Manaus, o Coco Bambu é um restaurante de alto padrão.","geral,localização"
La tem boa opção de comida mas evito ao maximo em ir.,"geral,comida"
Bar bem legal,geral
Restaurante top.,geral
Excelente opção para.o cardápio de comida japonesa.,comida
Melhor restaurante de Manaus,geral
"Atendimento no segundo piso muito ruim, comi dois pedaços de pizza demorei oito minutos para comer outro, além de suco quente e gelo só chega depois que vc toma todo.",serviço
"Localização excelente ao lado de um posto e logo após o shopping ponta negra num complexo de restaurantes, possui estacionamento.",localização
Melhor restaurante de carnes de Manaus ?,geral
Possui uma pequena loja de vinhos e charutos no interior.,geral
"Na cozinha a agitação tem nome: Felipe Schaedler, o jovem chef que fez fama ao utilizar elementos inusitados na sua cozinha regional e recentemente fincou um pé na capital paulista, com uma...filial.",serviço
"Comidas de boteco e regionais, uma excelente opção no shopping Manaura.","geral,comida"
"O restaurante também segue o padrão e é bem bonito, porém é um restaurante caro.","geral,ambiente,preço"
"A churrascaria búfalo conta com um ambiente climatizado e sofisticado, o atendimento é muito bom,  os garçons sempre educados e atenciosos.","ambiente,serviço"
"Ótimo restaurante, a comida é deliciosa, o preço é bom e o ambiente é muito agradável, além do bom atendimento !","geral,comida,preço,ambiente,serviço"
"Restaurante confortável, amplo, decoração de bom gosto, ar condicionado perfeito, música ao vivo discreta, muito bons serviçoes de maitres e garçons.","geral,ambiente,serviço"
Excelente restaurante,geral
"O único restaurante que fui, quê durante a Pandemia, respeita o distanciamento.",geral
"Excelente restaurante, servindo carnes de qualidade, um bom atendimento.","geral,comida,serviço"
"O Coco Bambu é um restaurante totalmente brasileiro, foi uma falta de tato e sensibilidade por parte dos músicos fazerem um repertório totalmente estrangeiro.","geral,serviço"
Considero um excelente centro gastronômico pela diversidade de pratos e sobremesas ofertados.,"geral,comida"
Agora com nova opção no cardápio: pizza.,outros
"E Tem problemas para servir pizza em rodízio quando a mesa é grande, não estão preparados para muita gente ao mesmo tempo, apesar de possuírem um salão razoavelmente grande.","serviço,ambiente"
"Um restaurante super agradável, pessoal muito atencioso, comida típica portuguesa de ótima qualidade.","geral,serviço,comida"
Excelente restaurante para saborear as riquezas das águas da Amazônia.,"geral,comida"
Melhor restaurante de Manaus ?,geral
"O único problema que encontrei foi para ir embora, se tiver sem carro, se programe em como voltar, o local é distante, parte da estrada ruim, por mais de 1 hora tentei chamar táxi, carro por aplicativo, indicação...isso foi bem cansativo.",localização
"Gosto mais do shopping ponta negra, menos agitado.",geral
"Achei, em tempos de pandemia, as mesas muito próximas e vim um garçom jovem que insistia em usar a máscara de forma incorreta deixando seu nariz para fora e respirando sobre o alimento e louças enquanto servia, mesmo por duas vezes, nós o solicitamos que usasse a máscara corretamente.",geral
"Pastelaria temática, adoro lugares assim, você faz lindas fotos, viaja no tempo e come super bem.","ambiente,comida"
Restaurante muito caro pra quem não tem estacionamento,"preço,localização"
Seria importante avaliar uma nova opção desta embalagem.,outros
Estive no restaurante banzeiro e senti um certo clima melancólico.,ambiente
"Churrascaria top de primeira, atendimento único e sem igual e o ambiente familiar... Recomendo se podesse daria 10 estrelas.","geral,serviço,ambiente"
"Churrascaria ótima, muito gostosa, localização privilegiada.","geral,comida,localização"
Excelente opção,geral
"Boa opção para carnes assadas, a guarnição também é boa porém o salão é grande, comporta muitas mesas o que naturalmente faz com que o barulho seja muito grande, sem contar a televisão extremamente alta, o que impossibilita o frequentador de poder conversar naturalmente com...Mais","comida,ambiente"
Bar temático.,geral
Uma ótima opção para conhecer um pouco de Manaus...Restaurante Flutuante no Rio Negro com estrutura de lazer e ambiente agradável.,"geral,ambiente"
"Excelente, o melhor restaurante de Manaus",geral
De longe o melhor restaurante que fomos em Manaus.,geral
Restaurante muito bom!,geral
Restaurante maravilhoso para quem gosta de comer bem!,geral
Uma das melhores churrascaria de Manaus... os preços são altos  mas pela estrutura e atendimento já vale,"geral,preço,ambiente,serviço"
Uma boa opção para as refeições diárias.,geral
"Passeio agradável, uma opção próxima para quem quer um dia de lazer.",geral
Um dos melhores restaurante em Manaus.,geral
"Visual bonito e aconchegante, atendimento gentil e profissional, refeição sempre muito bem feita com ingredientes de primeira qualidade.","ambiente,serviço,comida"
"Com toda certeza é a melhor churrascaria de Manaus, comida muito boa, bom atendimento, preços bons, o lugar é agradável.","geral,comida,serviço,preço"
Muito bom restaurante.,geral
"Bar bem intimista, ótimo para ir a dois.",geral
"Melhor restaurante de Manaus de frutos do mar, O atendimento é sempre sensacional, eles são atenciosos.","geral,serviço"
Melhor restaurante de Manaus.,geral
Trata-se de uma excelente opção para um encontro casual de amigos,geral
"No mais, excelente restaurante.",geral
Melhor churrascaria de Manaus.,geral
"Carne macia, deliciosas opções de guarnição e um ótimo restaurante para comemorar datas especiais!","geral,comida"
"Restaurante bom, porém com o preço salgado em relação a outras opções mais baratas na região.","geral,preço"
"Restaurante bonito , bem localizado.","ambiente,localização"
"Acho legal que tenha a opção vegetariana no cardápio, mostra que a empresa se preocupa com os clientes.","comida,serviço"
"Excelente opção para quem está em Manaus, dentro do Manauara shopping, possui uma excelente infraestrutura de atendimento, comida bem preparada, apesar de ser um pouco mal servida, e bebidas muito bem feitas.","geral,serviço,comida,bebida"
